time,acceleration
3.96,147.8
3.98,173.7
4,42.1
4.02,2.9
4.04,25.9
4.06,29.3
4.08,-5.5
4.1,-14.7
4.12,14.3
4.14,20.6
4.16,49.9
4.18,64.5
4.2,95.7
4.22,112.8
4.24,144.7
4.26,162.9
4.28,194.5
4.3,185.6
4.32,198.4
4.34,176.9
4.36,125
4.38,-120.7
4.4,-54.2
4.42,-38.4
4.44,-31.1
4.46,-111.8
4.48,-166.1
4.5,-246.4
4.52,-202.5
4.54,-183.5
4.56,-131.7
4.58,-96
4.6,-32.5
4.62,15.4
4.64,81.6
4.66,131.9
4.68,181.8
4.7,-5.8
4.72,-16.9
4.74,28.5
4.76,44.7
4.78,98.3
4.8,142.4
4.82,185.3
4.84,245.6
4.86,168.5
4.88,-138
4.9,-99.9
4.92,-108.9
4.94,-90.7
4.96,-46.9
4.98,-125
5,-211.1
5.02,-161.7
5.04,-169.2
5.06,-130.6
5.08,-111.1
5.1,-77.3
5.12,-51
5.14,-54.4
5.16,-120
5.18,-120.9
5.2,-115.8
5.22,-114.5
5.24,-71.7
5.26,-54.6
5.28,6.4
5.3,-80.4
5.32,-163.4
5.34,-85.9
5.36,-96.1
5.38,-39.6
5.4,-14.7
5.42,31.9
5.44,64.8
5.46,87.6
5.48,47.2
5.5,19.8
5.52,-2.7
5.54,29.2
5.56,44.5
5.58,78.5
5.6,103.3
5.62,135.2
5.64,160.6
5.66,186.1
5.68,128.1
5.7,64
5.72,20.4
5.74,31.4
5.76,37.3
5.78,49.6
5.8,23.5
5.82,-8.4
5.84,-16.8
5.86,-11.3
5.88,-22.9
5.9,-24.8
5.92,-15.7
5.94,-6.9
5.96,14.7
5.98,37.9
6,57.9
6.02,25.5
6.04,-4.1
6.06,-42.8
6.08,-13.3
6.1,9.5
6.12,23
6.14,-12.9
6.16,-5
6.18,8
6.2,21
6.22,38
6.24,51
6.26,15.7
6.28,-3.2
6.3,-11.1
6.32,0.5
6.34,7.6
6.36,3.5
6.38,-9.5
6.4,-3.6
6.42,-1.6
6.44,3.8
6.46,8.5
6.48,-5.6
6.5,-30.4
6.52,-42.1
6.54,-24.4
6.56,-23.6
6.58,-17.7
6.6,-12.9
6.62,-1.8
6.64,20.3
6.66,-10.8
6.68,-9.1
6.7,-3.4
6.72,-10.6
6.74,-11.1
6.76,-9.9
6.78,-0.2
6.8,7.3
6.82,23.5
6.84,35.5
6.86,70.5
6.88,77.9
6.9,18.4
6.92,-26.3
6.94,-12.4
6.96,-4.2
6.98,15.9
7,4.8
7.02,-21.9
7.04,-46.7
7.06,-42.8
7.08,-21.6
7.1,-4.3
7.12,15.9
7.14,32
7.16,41.9
7.18,12.3
7.2,-16
7.22,-20.4
7.24,-8.2
7.26,-20.6
7.28,-13.7
7.3,-5.5
7.32,5.3
7.34,13.4
7.36,26.6
7.38,23.2
7.4,7.9
7.42,-0.8
7.44,20
7.46,43.5
7.48,49.2
7.5,19.1
7.52,9.2
7.54,-2.2
7.56,-2.1
7.58,5.2
7.6,9.3
7.62,25.5
7.64,36.8
7.66,52.5
7.68,54.1
7.7,42.5
7.72,39.8
7.74,55.9
7.76,75.6
7.78,36.5
7.8,41.1
7.82,9.8
7.84,-20.4
7.86,-24.9
7.88,-40.5
7.9,-41.3
7.92,-47.1
7.94,-43.3
7.96,-45.8
7.98,-5.7
8,17.8
8.02,-20.8
8.04,-49.2
8.06,-53
8.08,-36.2
8.1,-40.5
8.12,-30.8
8.14,-31.6
8.16,-26.5
8.18,-26.5
8.2,-26.9
8.22,-34.5
8.24,-30.9
8.26,-21.7
8.28,-7.8
8.3,8.7
8.32,28.1
8.34,31
8.36,35.8
8.38,34.1
8.4,35.8
8.42,28.7
8.44,30.5
8.46,11.2
8.48,21.4
8.5,13.6
8.52,38.4
8.54,-86.1
8.56,-134.9
8.58,-134.2
8.6,-135.4
8.62,-119.3
8.64,-104.2
8.66,-82.9
8.68,-65.1
8.7,-44.4
8.72,-25.8
8.74,-6
8.76,-9.1
8.78,-18.2
8.8,-14.7
8.82,8.5
8.84,16.3
8.86,5
8.88,26.4
8.9,58.2
8.92,86.7
8.94,120
8.96,169.5
8.98,111.1
9,-110
9.02,-36.6
9.04,-44.5
9.06,-23.6
9.08,-96
9.1,-65.6
9.12,-59.7
9.14,-67
9.16,-55.2
9.18,-2.7
9.2,37.8
9.22,107.2
9.24,166.9
9.26,94.7
9.28,40.8
9.3,66.7
9.32,13.2
9.34,-9.5
9.36,-52
9.38,-82.7
9.4,-115.2
9.42,-115
9.44,-80.3
9.46,-36.9
9.48,2.9
9.5,54.5
9.52,117.8
9.54,161
9.56,-27
9.58,3.4
9.6,-5.6
9.62,2
9.64,14.6
9.66,53.7
9.68,79.8
9.7,-20.5
9.72,-59
9.74,-16.9
9.76,-17.5
9.78,-2.8
9.8,7.4
9.82,38.2
9.84,56.7
9.86,75.3
9.88,80.1
9.9,59.2
9.92,30.4
9.94,2.3
9.96,6.4
9.98,-40.6
10,-45.1
10.02,-7.9
10.04,16.8
10.06,56.7
10.08,9.3
10.1,-5.5
10.12,4.4
10.14,-12.3
10.16,-28.2
10.18,-43.7
10.2,-35.2
10.22,-25.5
10.24,-11.1
10.26,20.5
10.28,51.9
10.3,85.4
10.32,114.4
10.34,73.3
10.36,23.7
10.38,-36.8
10.4,-27.1
10.42,-21.7
10.44,-87.3
10.46,-97.3
10.48,-58.9
10.5,-33.6
10.52,7.7
10.54,25.9
10.56,50.8
10.58,36.1
10.6,8.1
10.62,-5.6
10.64,-20.9
10.66,-31.7
10.68,-23.8
10.7,-37.6
10.72,-55
10.74,-72.2
10.76,-80.3
10.78,-52.3
10.8,-34
10.82,-1.1
10.84,6.5
10.86,-3.7
10.88,-0.5
10.9,-16.8
10.92,-41
10.94,-8
10.96,7.9
10.98,37.4
11,61.5
11.02,66.5
11.04,25.4
11.06,-5.7
11.08,-47.4
11.1,-35.6
11.12,-24.3
11.14,-4.8
11.16,12.6
11.18,37.9
11.2,24.1
11.22,-22.7
11.24,-42.8
11.26,-67.9
11.28,-66.1
11.3,-59
11.32,-51.3
11.34,-40.8
11.36,-30.9
11.38,-26.6
11.4,-54.1
11.42,-62.8
11.44,-90.8
11.46,-110.7
11.48,-88.1
11.5,-77
11.52,-58.2
11.54,-47.3
11.56,-33.3
11.58,-19.9
11.6,2
11.62,21.1
11.64,43.2
11.66,61.3
11.68,76.7
11.7,93.3
11.72,106.6
11.74,113
11.76,118.7
11.78,124.7
11.8,133.4
11.82,159.4
11.84,179.7
11.86,203.7
11.88,123.6
11.9,44.2
11.92,-14
11.94,-66.6
11.96,-55.5
11.98,-69.3
12,-98.4
12.02,-124.6
12.04,-117.9
12.06,-105
12.08,-92
12.1,-74.3
12.12,-80.9
12.14,-85
12.16,-86
12.18,-86.3
12.2,-87.3
12.22,-86.8
12.24,-88.5
12.26,-53.7
12.28,5.2
12.3,21.5
12.32,24.5
12.34,58
12.36,31.4
12.38,23.6
12.4,48.5
12.42,58.9
12.44,52.5
12.46,35.5
12.48,19.7
12.5,19.9
12.52,49.2
12.54,34.3
12.56,28.8
12.58,43.2
12.6,23.9
12.62,8.8
12.64,7.7
12.66,-14.8
12.68,-7.7
12.7,-1.9
12.72,7.5
12.74,4.4
12.76,-14.5
12.78,-31.6
12.8,-24.1
12.82,-2.8
12.84,18.2
12.86,42.6
12.88,43.9
12.9,51.2
12.92,46.6
12.94,47.9
12.96,19.3
12.98,22.2
13,27.4
13.02,39.3
13.04,50.4
13.06,57.7
13.08,58.8
13.1,82.2
13.12,79.7
13.14,94.9
13.16,34.5
13.18,4.5
13.2,-12.3
13.22,-34.7
13.24,-42.6
13.26,-41.6
13.28,-27.5
13.3,-27
13.32,7.4
13.34,42.8
13.36,-23.1
13.38,-38.7
13.4,-8.3
13.42,13.9
13.44,44.5
13.46,2.7
13.48,-69.7
13.5,-79.6
13.52,-25.1
13.54,-13.5
13.56,7.9
13.58,-11.5
13.6,-25.1
13.62,-33.3
13.64,-26.9
13.66,-30.1
13.68,-20
13.7,-6.7
13.72,-3.8
13.74,10.5
13.76,29.6
13.78,34.4
13.8,95.7
13.82,89.8
13.84,17.9
13.86,-36.2
13.88,-99.4
13.9,-80.7
13.92,-74.4
13.94,-53.9
13.96,-33
13.98,-12.8
14,3.1
14.02,14.8
14.04,50.8
14.06,-2.2
14.08,-48.9
14.1,-35.8
14.12,-69.1
14.14,-51.6
14.16,-37.1
14.18,8.8
14.2,63.2
14.22,84.1
14.24,127.6
14.26,138.8
14.28,119.3
14.3,75.1
14.32,22.5
14.34,-8.8
14.36,-22.7
14.38,7.4
14.4,18.1
14.42,54.4
14.44,39.9
14.46,4.5
14.48,-8.2
14.5,-18.5
14.52,-2
14.54,0.6
14.56,-11.7
14.58,-21
14.6,-30.3
14.62,-51.2
14.64,-72.7
14.66,-57.9
14.68,-26.6
14.7,-17.8
14.72,4
14.74,9.8
14.76,13.7
14.78,22.1
14.8,43.7
14.82,9.1
14.84,-54.8
14.86,-55.5
14.88,-24.3
14.9,-8.1
14.92,25
14.94,41
14.96,18.2
14.98,-2.7
15,-24.3
15.02,-1.5
15.04,24.7
15.06,48.2
15.08,78.3
15.1,62.2
15.12,33.1
15.14,-1.4
15.16,-19.5
15.18,-24.7
15.2,-21.2
15.22,-11
15.24,5
15.26,24.1
15.28,-3.4
15.3,-21.6
15.32,-47.1
15.34,-36.3
15.36,-19.5
15.38,-1.8
15.4,17
15.42,-8
15.44,0.5
15.46,23
15.48,37.4
15.5,60.1
15.52,51.6
15.54,43.2
15.56,34.4
15.58,50.5
15.6,65.3
15.62,68.3
15.64,17.2
15.66,-17
15.68,-52.7
15.7,-66.4
15.72,-38.7
15.74,-22.2
15.76,-3.3
15.78,11.9
15.8,-12.8
15.82,-35.1
15.84,-51.4
15.86,-33.5
15.88,-21.8
15.9,-1.2
15.92,14.2
15.94,7
15.96,-6.3
15.98,-12
16,-32.2
16.02,-34.6
16.04,-9.1
16.06,7.3
16.08,30.9
16.1,47.2
16.12,60.3
16.14,57.6
16.16,33
16.18,-7.3
16.2,-77.7
16.22,-60.8
16.24,-43.8
16.26,-20.9
16.28,3.1
16.3,35
16.32,29.3
16.34,12.1
16.36,33.8
16.38,31.7
16.4,25.4
16.42,20.6
16.44,19.8
16.46,17.4
16.48,2.1
16.5,-14.4
16.52,-34.3
16.54,-33.9
16.56,-14.5
16.58,-2.8
16.6,17
16.62,-9.6
16.64,-25.5
16.66,-27.9
16.68,-38.8
16.7,-24.2
16.72,-21.5
16.74,-18.2
16.76,-17.4
16.78,-3.8
16.8,-2.7
16.82,-18.5
16.84,-12.3
16.86,8.7
16.88,34.3
16.9,69.5
16.92,91
16.94,85.3
16.96,76
16.98,51.3
17,18.6
17.02,1.5
17.04,-19
17.06,-15.1
17.08,-7.3
17.1,2.1
17.12,12.9
17.14,21.5
17.16,2.4
17.18,-12.4
17.2,-32.9
17.22,-51.9
17.24,-70.8
17.26,-57.9
17.28,-46.2
17.3,-30.7
17.32,-14.5
17.34,-0.9
17.36,-18
17.38,-31.8
17.4,-46.5
17.42,-39.1
17.44,-34.5
17.46,-31.6
17.48,-43.5
17.5,-49.1
17.52,-47.5
17.54,-42
17.56,-36.1
17.58,-27.7
17.6,-25.8
17.62,-13.9
17.64,-6.8
17.66,50.7
17.68,72.2
17.7,87.8
17.72,78.2
17.74,76.5
17.76,43.9
17.78,8
17.8,1.3
17.82,-12.6
17.84,-1.5
17.86,3
17.88,10.4
17.9,10.4
17.92,19.3
17.94,20.5
17.96,7.4
17.98,-5.6
18,-7.2
18.02,7
18.04,10.6
18.06,14.7
18.08,-0.9
18.1,-15.9
18.12,-18.7
18.14,-0.7
18.16,15.5
18.18,10.5
18.2,-11.5
18.22,-30.2
18.24,-30.9
18.26,-9.5
18.28,-5.8
18.3,0.4
18.32,2
18.34,5
18.36,5.7
18.38,9.7
18.4,13.4
18.42,17.7
18.44,21.8
18.46,26.1
18.48,30.2
18.5,34.6
18.52,38.6
18.54,47.4
18.56,39.3
18.58,23.8
18.6,11.5
18.62,-7.9
18.64,-12.4
18.66,5.4
18.68,2.7
18.7,-25
18.72,-56.6
18.74,-63
18.76,-59.1
18.78,-41.3
18.8,-6.8
18.82,27.2
18.84,27.7
18.86,-2.1
18.88,-6
18.9,-11
18.92,-22.1
18.94,-41.6
18.96,-51.9
18.98,-22.2
19,3
19.02,7.9
19.04,13.9
19.06,17.1
19.08,25.3
19.1,32.3
19.12,39.1
19.14,16.4
19.16,-13.6
19.18,-32.3
19.2,-29.1
19.22,-28.7
19.24,-30.4
19.26,-33.9
19.28,-24.5
19.3,-7.6
19.32,12.5
19.34,37.6
19.36,40.2
19.38,24.5
19.4,15.6
19.42,-4
19.44,-15.3
19.46,-28.9
19.48,-31.6
19.5,-11.1
19.52,9.4
19.54,33.5
19.56,57.6
19.58,42.4
19.6,14.3
19.62,-0.7
19.64,-13.5
19.66,-27
19.68,-34.1
19.7,-35.7
19.72,-39.6
19.74,-40.2
19.76,-48.8
19.78,-48
19.8,-40.6
19.82,-40.7
19.84,-35.1
19.86,-18.7
19.88,-5.7
19.9,4.4
19.92,-1.9
19.94,-7.2
19.96,-16.9
19.98,-11.5
20,12.6
20.02,35.8
20.04,65.4
20.06,71.6
20.08,76.2
20.1,73.9
20.12,62.8
20.14,48.4
20.16,26.4
20.18,-4.4
20.2,-28.8
20.22,-38.4
20.24,-49.2
20.26,-42.8
20.28,-41.6
20.3,-27.6
20.32,-5.2
20.34,23.7
20.36,42.6
20.38,60.4
20.4,45.2
20.42,28.4
20.44,12.6
20.46,-5.4
20.48,-27.5
20.5,-42.3
20.52,-17.5
20.54,0.1
20.56,25.4
20.58,48.1
20.6,64.1
20.62,55.4
20.64,41.3
20.66,18.4
20.68,-4.8
20.7,-30.3
20.72,-53.1
20.74,-70.8
20.76,-92.8
20.78,-86.3
20.8,-63.1
20.82,-37.6
20.84,8.7
20.86,30.9
20.88,58.9
20.9,61.4
20.92,38.5
20.94,35.1
20.96,31.1
20.98,24.6
21,1.9
21.02,-19.8
21.04,-15.8
21.06,-1.5
21.08,9.9
21.1,28.6
21.12,40.8
21.14,56.3
21.16,53.1
21.18,31.4
21.2,16.5
21.22,-2.4
21.24,-18.9
21.26,-27.6
21.28,-37.1
21.3,-45
21.32,-53.4
21.34,-48.3
21.36,-37.9
21.38,-29.6
21.4,-19.6
21.42,-18.4
21.44,-15.9
21.46,-11.9
21.48,-5.3
21.5,0.2
21.52,5.9
21.54,-2.3
21.56,-11.2
21.58,-20.5
21.6,-32.2
21.62,-38.8
21.64,-34.1
21.66,-28.7
21.68,-32.8
21.7,-40.7
21.72,-48.7
21.74,-56.3
21.76,-64.4
21.78,-55.5
21.8,-44.6
21.82,-0.8
21.84,25.3
21.86,41.1
21.88,64.4
21.9,57.9
21.92,47.4
21.94,38.4
21.96,38.5
21.98,34
22,35.7
22.02,0.8
22.04,-25.4
22.06,-46
22.08,-47.1
22.1,-22.2
22.12,-6.5
22.14,16.4
22.16,35.5
22.18,50.4
22.2,37.1
22.22,28
22.24,15.8
22.26,4.1
22.28,-2.7
22.3,2.1
22.32,4.4
22.34,9.9
22.36,13.5
22.38,9.4
22.4,5.8
22.42,2.2
22.44,-3.1
22.46,-3.1
22.48,0.4
22.5,-2.5
22.52,-12.4
22.54,-23.5
22.56,-40.6
22.58,-53
22.6,-70.1
22.62,-32.3
22.64,-5.2
22.66,9.4
22.68,32.8
22.7,47.8
22.72,50.9
22.74,35.8
22.76,34.2
22.78,30.6
22.8,28.5
22.82,26.3
22.84,16.8
22.86,-0.5
22.88,-21.2
22.9,-36.5
22.92,-31
22.94,-29.7
22.96,-28
22.98,-23.7
23,-26.6
23.02,-30.8
23.04,-36.6
23.06,-35.7
23.08,-30.8
23.1,-19.3
23.12,1.9
23.14,19.6
23.16,16
23.18,12.9
23.2,14
23.22,11
23.24,10.8
23.26,9.2
23.28,8.9
23.3,1.9
23.32,-13.1
23.34,-24.7
23.36,-43.6
23.38,-43.2
23.4,-30
23.42,-19.2
23.44,-4.8
23.46,9.7
23.48,16.8
23.5,14.8
23.52,17.3
23.54,7.8
23.56,-5.8
23.58,-21.5
23.6,-23.4
23.62,6
23.64,26.2
23.66,26.9
23.68,8.4
23.7,-4.1
23.72,-22.7
23.74,-7.6
23.76,3.1
23.78,18.2
23.8,31
23.82,47.9
23.84,45.9
23.86,16.6
23.88,-5.8
23.9,-39.6
23.92,-44.4
23.94,-24.1
23.96,-10.1
23.98,21.7
24,26.1
24.02,12.1
24.04,0.8
24.06,-16.8
24.08,-38.2
24.1,-56.6
24.12,-78.1
24.14,-61.9
24.16,-25.6
24.18,4.4
24.2,45.6
24.22,78.3
24.24,110.3
24.26,95.3
24.28,48.9
24.3,12.2
24.32,-38.7
24.34,-84.6
24.36,-122.6
24.38,-86.4
24.4,-61.6
24.42,-22.8
24.44,15
24.46,47.7
24.48,32.3
24.5,24.8
24.52,9.5
24.54,22.7
24.56,33.8
24.58,50.5
24.6,59.4
24.62,51.9
24.64,55.2
24.66,59.5
24.68,61.7
24.7,59.3
24.72,46.6
24.74,15.8
24.76,-7.7
24.78,-23
24.8,-30.3
24.82,-32.9
24.84,-36.4
24.86,-49
24.88,-66
24.9,-72.3
24.92,-78.4
24.94,-84.6
24.96,-56.6
24.98,-20.9
25,12.8
25.02,38.1
25.04,48.8
25.06,36.3
25.08,25
25.1,15.8
25.12,37.7
25.14,59.4
25.16,63
25.18,37
25.2,21.7
25.22,4
25.24,2.3
25.26,-6.2
25.28,-28.6
25.3,-38
25.32,-45.7
25.34,-50.5
25.36,-77.7
25.38,-62.8
25.4,-18.9
25.42,18.9
25.44,50.9
25.46,74.4
25.48,74.9
25.5,56.2
25.52,45.5
25.54,52.5
25.56,63.5
25.58,73.1
25.6,85.1
25.62,92.7
25.64,97.5
25.66,92.9
25.68,81.4
25.7,26.4
25.72,-28.9
25.74,-90.1
25.76,-136.4
25.78,-85.9
25.8,-46.8
25.82,8.1
25.84,59.4
25.86,82.3
25.88,55.6
25.9,30.1
25.92,-1.1
25.94,-38
25.96,-34.7
25.98,-2
26,18
26.02,63.3
26.04,101.3
26.06,112.2
26.08,110.7
26.1,94
26.12,80.5
26.14,60.8
26.16,50.8
26.18,20.6
26.2,-20.1
26.22,-57.2
26.24,-102.1
26.26,-133.2
26.28,-122.5
26.3,-120.7
26.32,-100.6
26.34,-76.2
26.36,-54.8
26.38,-48.9
26.4,-40.5
26.42,-29.1
26.44,-17.6
26.46,-14.1
26.48,-9.8
26.5,-5
26.52,1.9
26.54,8
26.56,3.5
26.58,-2.9
26.6,-6.1
26.62,-3.4
26.64,-1.3
26.66,7.6
26.68,20.5
26.7,32.7
26.72,45
26.74,57.7
26.76,56.2
26.78,46.4
26.8,30
26.82,10.7
26.84,-0.4
26.86,-3.3
26.88,-6.9
26.9,-10.1
26.92,-20.1
26.94,-18.8
26.96,2.5
26.98,13.4
27,24.3
27.02,26.6
27.04,26.5
27.06,15.5
27.08,-1.9
27.1,-9.5
27.12,-21.6
27.14,-16.7
27.16,-12
27.18,-6.4
27.2,-12.9
27.22,-16.3
27.24,-19.3
27.26,-24.2
27.28,-23.6
27.3,-17.5
27.32,-12.4
27.34,-18.5
27.36,-26.5
27.38,-32.3
27.4,-33.6
27.42,-45.4
27.44,-43
27.46,-33.4
27.48,-21.3
27.5,-6.9
27.52,3
27.54,0.3
27.56,-9.3
27.58,-8.9
27.6,-15
27.62,-16.4
27.64,-23.8
27.66,-32.3
27.68,-42.1
27.7,-45.7
27.72,-39.7
27.74,-34.9
27.76,-25.8
27.78,-17.2
27.8,-2
27.82,15.6
27.84,28.4
27.86,36.2
27.88,35.4
27.9,26.9
27.92,10.1
27.94,-4.5
27.96,-12.5
27.98,-24.5
28,-22.9
28.02,-12.6
28.04,-6.8
28.06,1.8
28.08,9.3
28.1,20
28.12,28.6
28.14,36.5
28.16,31.1
28.18,18.1
28.2,2.4
28.22,-15.6
28.24,-31.9
28.26,-21.9
28.28,-11.8
28.3,1.5
28.32,15.3
28.34,29.8
28.36,24.3
28.38,13.6
28.4,10.2
28.42,2.4
28.44,-1
28.46,-2.3
28.48,-3.6
28.5,-4.8
28.52,-8.9
28.54,-15.5
28.56,-14.8
28.58,-7.6
28.6,0
28.62,-2
28.64,-14.8
28.66,-22.5
28.68,-37.4
28.7,-36.5
28.72,-25.1
28.74,-16.4
28.76,-1.4
28.78,15.3
28.8,30.2
28.82,39.3
28.84,40.6
28.86,38.5
28.88,32.9
28.9,18.3
28.92,12.5
28.94,7
28.96,-0.1
28.98,-6.8
29,-13
29.02,-12.8
29.04,-11.5
29.06,-10.2
29.08,-8.4
29.1,-14.1
29.12,-20.5
29.14,-26.9
29.16,-35
29.18,-35.9
29.2,-29.7
29.22,-22.7
29.24,1.8
29.26,9.9
29.28,20.3
29.3,25.6
29.32,19.9
29.34,16
29.36,10.7
29.38,15.6
29.4,19.8
29.42,24.2
29.44,14.1
29.46,5.5
29.48,-6.6
29.5,-9.7
29.52,-2.6
29.54,1.6
29.56,10
29.58,9.4
29.6,3.9
29.62,0
29.64,-6.6
29.66,-9.9
29.68,-10.9
29.7,-11.5
29.72,-13.1
29.74,-16.8
29.76,-19.9
29.78,-10.4
29.8,-1
29.82,5.5
29.84,12.9
29.86,20
29.88,19.9
29.9,16.9
29.92,14.3
29.94,10.9
29.96,12.8
29.98,15.2
30,13.7
30.02,11.7
30.04,9.7
30.06,6
30.08,-2.8
30.1,-5
30.12,-8.4
30.14,-17.8
30.16,-32.1
30.18,-42
30.2,-51.8
30.22,-47.2
30.24,-39.4
30.26,-29
30.28,-11
30.3,5
30.32,13.2
30.34,15.7
30.36,17.7
30.38,19.5
30.4,25.5
30.42,33.1
30.44,32.8
30.46,25.2
30.48,17.3
30.5,4.5
30.52,-8.5
30.54,-19
30.56,-22.9
30.58,-30.4
30.6,-27.7
30.62,-22.7
30.64,-17.4
30.66,-12.1
30.68,-12.6
30.7,-12.9
30.72,-8
30.74,-2.6
30.76,3.9
30.78,6.5
30.8,5.5
30.82,5
30.84,6.4
30.86,12.6
30.88,17.9
30.9,24.3
30.92,30.7
30.94,29.8
30.96,25.1
30.98,21.6
31,16.3
31.02,19.2
31.04,23.4
31.06,28.2
31.08,30.1
31.1,19.6
31.12,10.6
31.14,-3.9
31.16,-16.3
31.18,-32.2
31.2,-33.5
31.22,-21.9
31.24,-14.8
31.26,-1
31.28,1.1
31.3,-5.3
31.32,-10.1
31.34,-12.6
31.36,-14.3
31.38,-12.9
31.4,-10.4
31.42,-7.1
31.44,-1.8
31.46,3.3
31.48,8.5
31.5,15.8
31.52,23.9
31.54,31.9
31.56,34.1
31.58,31.8
31.6,21.3
31.62,7.3
31.64,0.9
31.66,-1.5
31.68,-4.7
31.7,-7.5
31.72,-12.1
31.74,-15.6
31.76,-11.6
31.78,-5.6
31.8,-0.6
31.82,-0.3
31.84,-0.3
31.86,1.4
31.88,4.6
31.9,7.2
31.92,8.6
31.94,9.8
31.96,12.4
31.98,14.7
32,17.2
32.02,20
32.04,25.6
32.06,31.7
32.08,28.7
32.1,23.1
32.12,10.5
32.14,-0.1
32.16,-1.1
32.18,-3.6
32.2,-5.3
32.22,-8.3
32.24,-5.2
32.26,-0.7
32.28,3.7
32.3,9.6
32.32,15.5
32.34,20.5
32.36,14.3
32.38,7.3
32.4,2.1
32.42,-2.2
32.44,-7
32.46,-10
32.48,-7.5
32.5,-5.4
32.52,-2.9
32.54,-1.5
32.56,0
32.58,-0.1
32.6,-0.6
32.62,-1.1
32.64,-1
32.66,-0.3
32.68,0.1
32.7,1.6
32.72,5.3
32.74,8.6
32.76,12.6
32.78,15.4
32.8,13.1
32.82,10.2
32.84,5.6
32.86,0.6
32.88,-4
32.9,-9.8
32.92,-9.6
32.94,-4.6
32.96,-0.7
32.98,3.1
33,4.5
33.02,6.8
33.04,5.2
33.06,4.5
33.08,1.8
33.1,-0.2
33.12,-2.9
33.14,-2.8
33.16,-1.7
33.18,-0.6
33.2,-0.5
33.22,-1.7
33.24,-2.2
33.26,-3.6
33.28,-3.2
33.3,-0.7
33.32,1.4
33.34,4.1
33.36,6.5
33.38,6.3
33.4,5.2
33.42,0.6
33.44,-4.5
33.46,-7.6
33.48,-6.4
33.5,-6.5
33.52,-10.7
33.54,-16.1
33.56,-17.4
33.58,-11.7
33.6,-7
33.62,-3.6
33.64,-2.5
33.66,-0.2
33.68,0.4
33.7,3.6
33.72,8.2
33.74,11.5
